Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Tue Apr  4 14:38:57 2023
Invocation: foremost -T -t jpg,gif,pdf -i BrownWiggins2.dd 
Output directory: /home/csis/Desktop/output_Tue_Apr__4_14_38_57_2023
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: BrownWiggins2.dd
Start: Tue Apr  4 14:38:57 2023
Length: 7 GB (8166703104 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 
88:	00065295.gif 	       43 B 	   33431296 	  (1 x 1)
89:	00073079.gif 	       35 B 	   37416704 	  (1 x 1)
90:	00073215.gif 	       35 B 	   37486336 	  (1 x 1)
91:	00073536.gif 	       1 KB 	   37650432 	  (3 x 28)
92:	00073540.gif 	       1 KB 	   37652480 	  (1 x 28)
93:	00073679.gif 	       35 B 	   37723904 	  (1 x 1)
94:	00073792.gif 	       1 KB 	   37781504 	  (3 x 3)
95:	00073796.gif 	       1 KB 	   37783552 	  (19 x 18)
96:	00073869.gif 	      260 B 	   37820928 	  (16 x 11)
97:	00073976.gif 	      366 B 	   37875712 	  (16 x 11)
98:	00073979.gif 	      362 B 	   37877248 	  (16 x 11)
99:	00073982.gif 	      361 B 	   37878784 	  (16 x 11)
100:	00074120.gif 	       1 KB 	   37949440 	  (1 x 28)
101:	00074124.gif 	       1 KB 	   37951488 	  (1 x 25)
102:	00074130.gif 	      363 B 	   37954560 	  (16 x 11)
103:	00074132.gif 	      361 B 	   37955584 	  (16 x 11)
104:	00074134.gif 	      360 B 	   37956608 	  (16 x 11)
105:	00074152.gif 	      360 B 	   37965824 	  (16 x 11)
106:	00074154.gif 	      366 B 	   37966848 	  (16 x 11)
107:	00074156.gif 	      362 B 	   37967872 	  (16 x 11)
108:	00074158.gif 	      360 B 	   37968896 	  (16 x 11)
109:	00074200.gif 	      361 B 	   37990400 	  (16 x 11)
110:	00074202.gif 	      366 B 	   37991424 	  (16 x 11)
111:	00074204.gif 	      366 B 	   37992448 	  (16 x 11)
112:	00074206.gif 	      361 B 	   37993472 	  (16 x 11)
113:	00074208.gif 	       86 B 	   37994496 	  (16 x 11)
114:	00074210.gif 	      371 B 	   37995520 	  (16 x 11)
115:	00074270.gif 	     111 KB 	   38026240 	  (1 x 33)
116:	00130067.gif 	       35 B 	   66594304 	  (1 x 1)
117:	00130067_1.gif 	       35 B 	   66594560 	  (1 x 1)
118:	00130135.gif 	       43 B 	   66629376 	  (1 x 1)
119:	00150647.gif 	      149 B 	   77131520 	  (16 x 14)
120:	00151072.gif 	      590 B 	   77348864 	  (17 x 17)
121:	00151073.gif 	     1010 B 	   77349632 	  (16 x 16)
122:	00197536.gif 	      10 KB 	  101138432 	  (64 x 64)
123:	00235630.jpg 	      32 KB 	  120642560 	 
124:	00236056.jpg 	      10 KB 	  120860672 	 
125:	00238058.jpg 	       1 KB 	  121885696 	 
126:	00238062.jpg 	     162 KB 	  121887744 	 
127:	00238440.jpg 	       5 KB 	  122081280 	 
128:	00238462.jpg 	       7 KB 	  122092544 	 
129:	00238486.jpg 	       7 KB 	  122104832 	 
130:	00238552.jpg 	       4 KB 	  122138624 	 
131:	00238574.jpg 	       5 KB 	  122149888 	 
132:	00238592.jpg 	       5 KB 	  122159104 	 
133:	00238626.jpg 	       2 KB 	  122176512 	 
134:	00238632.jpg 	       8 KB 	  122179584 	 
135:	00238784.jpg 	       5 KB 	  122257408 	 
136:	00238800.jpg 	       4 KB 	  122265600 	 
137:	00238940.jpg 	       1 KB 	  122337280 	 
138:	00238960.jpg 	      35 KB 	  122347520 	 
139:	00239120.jpg 	       4 KB 	  122429440 	 
140:	00239136.jpg 	       2 KB 	  122437632 	 
141:	00239142.jpg 	       3 KB 	  122440704 	 
142:	00239150.jpg 	       7 KB 	  122444800 	 
143:	00239166.jpg 	       1 KB 	  122452992 	 
144:	00239170.jpg 	       7 KB 	  122455040 	 
145:	00239192.jpg 	       5 KB 	  122466304 	 
146:	00240264.jpg 	      35 KB 	  123015168 	 
147:	00243112.jpg 	      61 KB 	  124473344 	 
148:	00243800.jpg 	      82 KB 	  124825600 	 
149:	00244424.jpg 	      12 KB 	  125145088 	 
150:	00244456.jpg 	      81 KB 	  125161472 	 
151:	00245472.jpg 	      53 KB 	  125681664 	 
152:	00245600.jpg 	      31 KB 	  125747200 	 
153:	00245824.jpg 	      20 KB 	  125861888 	 
154:	00245872.jpg 	      23 KB 	  125886464 	 
155:	00245984.jpg 	      63 KB 	  125943808 	 
156:	00246128.jpg 	      26 KB 	  126017536 	 
157:	00246192.jpg 	      31 KB 	  126050304 	 
158:	00246264.jpg 	      20 KB 	  126087168 	 
159:	00246320.jpg 	      23 KB 	  126115840 	 
160:	00253985.jpg 	       8 KB 	  130040657 	 
161:	00255656.jpg 	       2 KB 	  130895872 	 
162:	00255662.jpg 	      56 KB 	  130898944 	 
163:	00255808.jpg 	      12 KB 	  130973696 	 
164:	00255864.jpg 	     469 KB 	  131002368 	 
165:	00256984.jpg 	      53 KB 	  131575808 	 
166:	00257104.jpg 	      31 KB 	  131637248 	 
167:	00257176.jpg 	      20 KB 	  131674112 	 
168:	00257232.jpg 	      54 KB 	  131702784 	 
169:	00257360.jpg 	      23 KB 	  131768320 	 
170:	00257416.jpg 	      63 KB 	  131796992 	 
171:	00257552.jpg 	      26 KB 	  131866624 	 
172:	00257776.jpg 	      31 KB 	  131981312 	 
173:	00259496.jpg 	      20 KB 	  132861952 	 
174:	00259552.jpg 	      23 KB 	  132890624 	 
175:	00260412.jpg 	     217 KB 	  133330944 	 
176:	00262544.jpg 	       5 KB 	  134422528 	 
177:	00263722.jpg 	       2 KB 	  135025664 	 
178:	00263784.jpg 	     103 KB 	  135057408 	 
179:	00264096.jpg 	       5 KB 	  135217152 	 
180:	00264144.jpg 	       6 KB 	  135241728 	 
181:	00264176.jpg 	       6 KB 	  135258112 	 
182:	00264208.jpg 	       5 KB 	  135274496 	 
183:	00264240.jpg 	       5 KB 	  135290880 	 
184:	00264274.jpg 	      17 KB 	  135308288 	 
185:	00264352.jpg 	       3 KB 	  135348224 	 
186:	00264376.jpg 	       4 KB 	  135360512 	 
187:	00264424.jpg 	       9 KB 	  135385088 	 
188:	00264464.jpg 	       6 KB 	  135405568 	 
189:	00264496.jpg 	       4 KB 	  135421952 	 
190:	00264536.jpg 	       4 KB 	  135442432 	 
191:	00264568.jpg 	       6 KB 	  135458816 	 
192:	00264600.jpg 	       5 KB 	  135475200 	 
193:	00265198.jpg 	       3 KB 	  135781376 	 
194:	00265208.jpg 	       2 KB 	  135786496 	 
195:	00265214.jpg 	       4 KB 	  135789568 	 
196:	00280639.jpg 	     152 KB 	  143687651 	 
197:	00280944.jpg 	       1 MB 	  143843491 	 
198:	00284997.jpg 	       2 MB 	  145918638 	 
199:	00289957.jpg 	       2 MB 	  148458385 	 
200:	00294571.jpg 	       2 MB 	  150820725 	 
201:	00313576.jpg 	     512 KB 	  160550912 	 
202:	00315014.jpg 	       1 KB 	  161287168 	 
203:	00315066.jpg 	       1 KB 	  161313792 	 
204:	00315070.jpg 	      18 KB 	  161315840 	 
205:	00315168.jpg 	       4 KB 	  161366016 	 
206:	00315202.jpg 	      31 KB 	  161383424 	 
207:	00315304.jpg 	       4 KB 	  161435648 	 
208:	00316792.jpg 	      15 KB 	  162197504 	 
209:	00317728.jpg 	       3 KB 	  162676736 	 
210:	00317736.jpg 	       4 KB 	  162680832 	 
211:	00317784.jpg 	       2 KB 	  162705408 	 
212:	00317794.jpg 	       1 KB 	  162710528 	 
213:	00317798.jpg 	      29 KB 	  162712576 	 
214:	00317872.jpg 	       6 KB 	  162750464 	 
215:	00318080.jpg 	       5 KB 	  162856960 	 
216:	00319204.jpg 	     139 KB 	  163432448 	 
217:	00319512.jpg 	       4 KB 	  163590144 	 
218:	00319576.jpg 	       4 KB 	  163622912 	 
219:	00320440.jpg 	      73 KB 	  164065280 	 
220:	00334544.jpg 	       2 MB 	  171286528 	 
221:	00340128.jpg 	       3 MB 	  174145536 	 
222:	00346384.jpg 	       3 MB 	  177348608 	 
223:	00352544.jpg 	       2 MB 	  180502528 	 
224:	00358264.jpg 	       2 MB 	  183431168 	 
225:	00362424.jpg 	       2 MB 	  185561088 	 
226:	00366816.jpg 	       1 MB 	  187809792 	 
227:	00370368.jpg 	       2 MB 	  189628416 	 
228:	00376306.jpg 	       1 KB 	  192668672 	 
229:	00377896.jpg 	      28 KB 	  193482752 	 
230:	00380872.jpg 	     156 KB 	  195006464 	 
231:	00383860.jpg 	       1 KB 	  196536320 	 
232:	00384104.jpg 	      16 KB 	  196661248 	 
233:	00384168.jpg 	      21 KB 	  196694016 	 
234:	00384240.jpg 	      65 KB 	  196730880 	 
235:	00384736.jpg 	       1 KB 	  196984832 	 
236:	00384798.jpg 	      55 KB 	  197016576 	 
237:	00384928.jpg 	       8 KB 	  197083136 	 
238:	00406742.jpg 	     225 KB 	  208251904 	 
239:	00407194.jpg 	       1 KB 	  208483328 	 
240:	00407352.jpg 	       5 KB 	  208564224 	 
241:	00407464.jpg 	       1 KB 	  208621568 	 
242:	00407468.jpg 	       1 KB 	  208623616 	 
243:	00407956.jpg 	       1 KB 	  208873472 	 
244:	00408264.jpg 	       1 KB 	  209031168 	 
245:	00408268.jpg 	       1 KB 	  209033216 	 
246:	00408380.jpg 	       1 KB 	  209090560 	 
247:	00408392.jpg 	       1 KB 	  209096704 	 
248:	00408396.jpg 	       1 KB 	  209098752 	 
249:	00408750.jpg 	      17 KB 	  209280000 	 
250:	00408786.jpg 	       1 KB 	  209298432 	 
251:	00409248.jpg 	       1 MB 	  209534976 	 
252:	00208952.gif 	      17 KB 	  106983424 	  (104 x 114)
253:	00219968.gif 	       5 KB 	  112623616 	  (28 x 28)
254:	00222224.gif 	       1 KB 	  113778688 	  (54 x 55)
255:	00223864.gif 	      11 KB 	  114618368 	  (48 x 48)
256:	00226400.gif 	      10 KB 	  115916800 	  (64 x 64)
257:	00227184.gif 	       1 KB 	  116318208 	  (28 x 28)
258:	00227400.gif 	       3 KB 	  116428800 	  (64 x 64)
259:	00230800.gif 	       2 KB 	  118169600 	  (64 x 64)
260:	00231880.gif 	       1 KB 	  118722560 	  (28 x 14)
261:	00234356.gif 	       1 KB 	  119990272 	  (47 x 10)
262:	00234448.gif 	      14 KB 	  120037376 	  (468 x 60)
263:	00234488.gif 	       14 B 	  120057856 	  (468 x 60)
264:	00234616.gif 	       3 KB 	  120123392 	  (175 x 40)
265:	00234696.gif 	      102 B 	  120164352 	  (468 x 60)
266:	00235112.gif 	      72 KB 	  120377344 	  (468 x 60)
267:	00235390.gif 	      810 B 	  120519680 	  (70 x 30)
268:	00235560.gif 	       4 KB 	  120606720 	  (37 x 37)
269:	00235608.gif 	       5 KB 	  120631296 	  (33 x 17)
270:	00235906.gif 	      727 B 	  120783872 	  (18 x 18)
271:	00235942.gif 	       49 B 	  120802304 	  (1 x 1)
272:	00235952.gif 	       3 KB 	  120807424 	  (468 x 64)
273:	00235992.gif 	     102 KB 	  120827904 	  (64 x 42)
274:	00236250.gif 	       49 B 	  120960256 	  (1 x 1)
275:	00236253.gif 	       43 B 	  120961536 	  (1 x 1)
276:	00236255.gif 	       35 B 	  120962560 	  (1 x 1)
277:	00236255_1.gif 	       89 B 	  120962816 	  (23 x 9)
278:	00236448.gif 	       9 KB 	  121061376 	  (63 x 11)
279:	00236492.gif 	       1 KB 	  121083904 	  (16 x 16)
280:	00236496.gif 	       3 KB 	  121085952 	  (40 x 8)
281:	00236504.gif 	      824 B 	  121090048 	  (74 x 36)
282:	00236515.gif 	      261 B 	  121095680 	  (25 x 9)
283:	00236528.gif 	       5 KB 	  121102336 	  (33 x 17)
284:	00237217.gif 	      562 B 	  121455104 	  (12 x 12)
285:	00237284.gif 	       35 B 	  121489408 	  (1 x 1)
286:	00237328.gif 	       49 B 	  121511936 	  (1 x 1)
287:	00237363.gif 	       43 B 	  121529856 	  (1 x 1)
288:	00237365.gif 	       43 B 	  121530880 	  (1 x 1)
289:	00237367.gif 	       43 B 	  121531904 	  (1 x 1)
290:	00237369.gif 	       35 B 	  121532928 	  (1 x 1)
291:	00237375.gif 	       67 B 	  121536000 	  (21 x 16)
292:	00237375_1.gif 	       43 B 	  121536256 	  (1 x 1)
293:	00238399.gif 	       35 B 	  122060288 	  (1 x 1)
294:	00238399_1.gif 	       43 B 	  122060544 	  (1 x 1)
295:	00238623.gif 	       35 B 	  122175232 	  (1 x 1)
296:	00239584.gif 	       43 B 	  122667008 	  (1 x 1)
297:	00239936.gif 	       35 B 	  122847488 	  (1 x 1)
298:	00239937.gif 	       43 B 	  122847744 	  (1 x 1)
299:	00239942.gif 	       35 B 	  122850560 	  (1 x 1)
300:	00239943.gif 	       43 B 	  122850816 	  (1 x 1)
301:	00240351.gif 	       35 B 	  123059968 	  (1 x 1)
302:	00243559.gif 	       35 B 	  124702464 	  (1 x 1)
303:	00247391.gif 	       35 B 	  126664448 	  (1 x 1)
304:	00247720.gif 	       35 B 	  126832640 	  (1 x 1)
305:	00249960.gif 	       43 B 	  127979776 	  (1 x 1)
306:	00249967.gif 	       43 B 	  127983104 	  (1 x 1)
307:	00249967_1.gif 	       43 B 	  127983360 	  (1 x 1)
308:	00250756.gif 	       35 B 	  128387072 	  (1 x 1)
309:	00251959.gif 	       35 B 	  129003008 	  (1 x 1)
310:	00251959_1.gif 	       35 B 	  129003264 	  (1 x 1)
311:	00255847.gif 	       35 B 	  130993920 	  (1 x 1)
312:	00258884.gif 	       35 B 	  132548864 	  (1 x 1)
313:	00261111.gif 	       35 B 	  133688832 	  (1 x 1)
314:	00261111_1.gif 	       35 B 	  133689088 	  (1 x 1)
315:	00261125.gif 	       43 B 	  133696000 	  (1 x 1)
316:	00261181.gif 	       43 B 	  133724928 	  (1 x 1)
317:	00261182.gif 	       43 B 	  133725184 	  (1 x 1)
318:	00261900.gif 	       43 B 	  134093056 	  (1 x 1)
319:	00262297.gif 	       35 B 	  134296064 	  (1 x 1)
320:	00263745.gif 	       67 B 	  135037696 	  (21 x 16)
321:	00301151.gif 	       67 B 	  154189568 	  (21 x 16)
322:	00317575.gif 	       35 B 	  162598400 	  (1 x 1)
323:	00317575_1.gif 	       43 B 	  162598656 	  (1 x 1)
324:	00330964.gif 	       43 B 	  169453824 	  (1 x 1)
325:	00376208.gif 	      149 B 	  192618496 	  (16 x 14)
326:	00376208_1.gif 	      590 B 	  192618752 	  (17 x 17)
327:	00376210.gif 	      284 B 	  192619520 	  (17 x 17)
328:	00376215.gif 	       35 B 	  192622336 	  (1 x 1)
329:	00376366.gif 	       35 B 	  192699648 	  (1 x 1)
330:	00376377.gif 	       35 B 	  192705024 	  (1 x 1)
331:	00376380.gif 	      384 B 	  192706816 	  (17 x 17)
332:	00381812.gif 	       55 B 	  195488000 	  (16 x 16)
333:	00383248.gif 	       7 KB 	  196222976 	  (468 x 60)
334:	00408376.gif 	      534 B 	  209088512 	  (16 x 16)
335:	00415896.jpg 	     385 KB 	  212938752 	 
336:	00421784.jpg 	      68 KB 	  215953408 	 
337:	00423386.jpg 	       2 KB 	  216773632 	 
338:	00423784.jpg 	       1 KB 	  216977408 	 
339:	00423788.jpg 	       1 KB 	  216979456 	 
340:	00423896.jpg 	     216 KB 	  217034752 	 
Finish: Tue Apr  4 14:39:49 2023

341 FILES EXTRACTED
	
jpg:= 204
gif:= 137
------------------------------------------------------------------

Foremost finished at Tue Apr  4 14:39:49 2023
